ablatives	ablative:ablative_A s:+PL
culprit	culprit:culprit_N
cults	cult:cult_N s:+PL
curator	curator:curator_N
cursing	curs:curse_V ing:+PCP1
cuticle	cuticle:cuticle_N
cyclops'	cyclops:Cyclops_N ':+GEN
daddy's	dadd:dad_N y:y_s 's:+GEN
daguerreotypes	daguerreotype:daguerreotype_N s:+PL
daiquiris	daiquiri:daiquiri_N s:+PL
dandies	dandi:dandy_N es:+PL
dandled	dandl:dandle_V ed:+PAST
danny	danny:Danny_N
date	date:date_N, date:date_N
debased	debas:debase_V ed:+PAST
debriefed	de:de_p brief:brief_A ed:+PAST
december's	december:December_N 's:+GEN
decency	dec:decent_A ency:ency_s
deciphering	de:de_p cipher:cipher_N ing:+PCP1
declaiming	de:de_p claim:claim_V ing:+PCP1
declamations	de:de_p clam:claim_V ation:ation_s s:+PL
declaring	declar:declare_V ing:+PCP1
dedicating	dedicat:dedicate_V ing:+PCP1
defames	de:de_p fame:fame_N s:+3SG
defeats	defeat:defeat_V s:+PL, defeat:defeat_V s:+3SG
defendants	defend:defend_V ant:ant_s s:+PL
dehumanize	de:de_p human:human_A ize:ize_s
deluded	delud:delude_V ed:+PAST
demoralize	de:de_p moral:moral_A ize:ize_s
denationalized	de:de_p nation:nation_N al:al_s iz:ize_s ed:+PAST
deplorable	deplor:deplore_V able:able_s
deputizes	deput:depute_V ~:y_s ize:ize_s s:+3SG
derv	derv:derv_N
describable	describ:describe_V able:able_s
designer's	design:design_V er:er_s 's:+GEN
detraction	detract:detract_from_V ion:ion_s
detraining	de:de_p train:train_N ing:+PCP1
devaluation	de:de_p valu:value_N at:ate_s ion:ion_s, de:de_p valu:value_N ation:ation_s
deviancies	devi:deviate_V ~:ant_s anci:ancy_s es:+PL
differential	differ:differ_V ent:ent_s ~:ence_s ial:ial_s, differ:differ_V ent:ent_s ~:ence_s ial:ial_s
diking	dik:dike_N ing:+PCP1
diplomatically	diplomat:diplomat_N ic:ic_s ally:ally_s
disorders	dis:dis_p order:order_V s:+PL, dis:dis_p order:order_V s:+3SG
disorientation	dis:dis_p orient:orient_A at:ate_s ion:ion_s, dis:dis_p orientat:orientate_V ion:ion_s
dispassionate	dis:dis_p passion:passion_N ate:ate_s
disposing	dispos:dispose_V ing:+PCP1
dissolute	dissolute:dissolute_A
divorcee	divorc:divorce_V ee:ee_s
domesticating	domestic:domestic_A at:ate_s ing:+PCP1
dominated	dominat:dominate_V ed:+PAST
dos'	do:do_N s:+PL ':+GEN
double-clutch	double:double_A -:~ clutch:clutch_V
dressings'	dressing:dressing_V s:+PL ':+GEN
drips	drip:drip_V s:+PL, drip:drip_V s:+3SG
drumheads	drum:drum_N head:head_N s:+PL
drunkenly	drunk:drink_V en:en_s ly:ly_s
dubbin	dubbin:dubbin_N, dubbin:dubbin_N
dudes	dude:dude_N s:+PL
duellist's	duell:duel_N ist:ist_s 's:+GEN
dumps	dump:dump_V s:+PL, dump:dump_V s:+3SG, dumps:dumps_N
dutifully	duti:duty_N ful:ful_s ly:ly_s
dynamics'	dynamic:dynamic_A s:+PL ':+GEN, dynamic:dynamic_A s:s_s ':+GEN
earplugs	ear:ear_N plug:plug_N s:+PL
eaves	eaves:eaves_N
eel	eel:eel_N
eels	eel:eel_N s:+PL
egotistically	egot:ego_N ~:ism_s ist:ist_s ic:ic_s ally:ally_s, egot:ego_N ~:ism_s ist:ist_s ical:ical_s ly:ly_s
electioneering	elect:elect_A ion:ion_s eer:eer_s ing:+PCP1, electioneering:electioneering_V
elevations	elevat:elevate_V ion:ion_s s:+PL
elite's	elite:elite_N 's:+GEN
embossing	em:em_p boss:boss_N ing:+PCP1
ends'	end:end_N s:+PL ':+GEN
entitlement	entitle:entitle_V ment:ment_s
entitling	entitl:entitle_V ing:+PCP1
equalizes	equal:equal_A ize:ize_s s:+3SG
equerry's	equerry:equerry_N 's:+GEN
equipped	equipp:equip_V ed:+PAST, equipped:equipped_V
eschewed	eschew:eschew_V ed:+PAST
espouses	espouse:espouse_V s:+3SG
estimator	estimat:estimate_V or:or_s
ewers'	ewer:ewer_N s:+PL ':+GEN
ex-serviceman	ex:ex_p -:~ serv:serve_V ice:ice_s man:man_N
exculpation	exculpat:exculpate_V ion:ion_s
exit	exit:exit_V, exit:exit_V
exorbitance	exorbit:exorbitant_A ance:ance_s
expressway	express:express_A way:way_N
extreme's	extreme:extreme_A 's:+GEN
fairs	fair:fair_N s:+PL
fairyland	fairy:fairy_N land:land_N
fanciers'	fanci:fancy_N er:er_s s:+PL ':+GEN
farmers	farm:farm_N er:er_s s:+PL
faster	fast:fast_A er:+CMP, fast:fast_A er:+CMP
fault's	fault:fault_N 's:+GEN
fawn	fawn:fawn_N, fawn:fawn_V
feasts	feast:feast_N s:+PL, feast:feast_N s:+3SG
fences	fence:fence_N s:+PL, fence:fence_N s:+3SG
ferment	ferment:ferment_V, ferment:ferment_V
fielder's	field:field_N er:er_s 's:+GEN
fig-leaf	fig:fig_N -:~ leaf:leaf_N
films	film:film_N s:+PL, film:film_N s:+3SG
finalizes	final:final_A ize:ize_s s:+3SG
fire-eater	fire:fire_N -:~ eat:eat_V er:er_s
firepower	fire:fire_N power:power_N
fireproofed	fire:fire_N proof:proof_s ed:+PAST
firestorms	fire:fire_N storm:storm_N s:+PL
fizzled	fizz:fizz_V l:le_s ed:+PAST
flambeau	flambeau:flambeau_N
fled	fled:flee_V ~:+PAST
flirting	flirt:flirt_V ing:+PCP1
flitted	flitt:flit_V ed:+PAST
floes	floe:floe_N s:+PL
fluffy	fluff:fluff_N y:y_s
fluid's	fluid:fluid_A 's:+GEN
flurried	flurri:flurry_N ed:+PAST
footfalls	foot:foot_N fall:fall_V s:+PL
foppish	fopp:fop_N ish:ish_s
four-poster	four:four_Q -:~ post:post_N er:er_s
four-wheeler	four:four_Q -:~ wheel:wheel_N er:er_s
freighted	freight:freight_N ed:+PAST
freshman	fresh:fresh_A man:man_N
frisian	frisian:Frisian_N
frivolities	frivol:frivolous_A iti:ity_s es:+PL
frivolous	frivolous:frivolous_A
frolicsome	frolic:frolic_V some:some_s
frowns	frown:frown_V s:+PL, frown:frown_V s:+3SG
frugality	frugal:frugal_A ity:ity_s
furthering	further:further_A ing:+PCP1
galley's	galley:galley_N 's:+GEN
gamecocks	game:game_N cock:cock_N s:+PL
gangers	gang:gang_N er:er_s s:+PL
garbage-can	garbage:garbage_N -:~ can:can_N
gasify	gas:gas_N ify:ify_s
gaslight	gas:gas_N light:light_N
gatecrasher	gate:gate_N crash:crash_N er:er_s
geese	geese:goose_N ~:+PL
geldings	gelding:gelding_V s:+PL
germans'	german:German_A s:+PL ':+GEN
giant	giant:giant_N
giraffe's	giraffe:giraffe_N 's:+GEN
giving	giv:give_V ing:+PCP1
gladiator	gladiator:gladiator_N
glides	glide:glide_V s:+PL, glide:glide_V s:+3SG
glowering	glower:glower_V ing:+PCP1
glows	glow:glow_V s:+3SG
godparents'	god:God_N parent:parent_N s:+PL ':+GEN
gored	gor:gore_N ed:ed_s, gor:gore_V ed:+PAST
gourmands	gourmand:gourmand_N s:+PL
grandad	gran:grand_A dad:dad_N
graphical	graph:graph_N ical:ical_s
griffon	griffon:griffon_N
gross'	gross:gross_A ':+GEN
growers'	grow:grow_V er:er_s s:+PL ':+GEN
guard	guard:guard_N, guard:guard_N
gull's	gull:gull_N 's:+GEN, gull:gull_V 's:+GEN
habitues	habitue:habitue_N s:+PL
hagiographies	hagiographi:hagiography_N es:+PL
haloes	halo:halo_N es:+PL
hamlets'	hamlet:hamlet_N s:+PL ':+GEN
handmaid's	hand:hand_N maid:maid_N 's:+GEN
handpick	hand:hand_N pick:pick_V
handsaws	hand:hand_N saw:saw_N s:+PL
hap's	hap:hap_N 's:+GEN
harbours	harbour:harbour_N s:+PL, harbour:harbour_N s:+3SG
hardbacked	hard:hard_A back:back_N ed:ed_s
harridans	harridan:harridan_N s:+PL
headboards	head:head_N board:board_N s:+PL
headlamp	head:head_N lamp:lamp_N
healing	heal:heal_V ing:+PCP1, healing:healing_V
heap	heap:heap_N, heap:heap_N
heartbroken	heart:heart_N broken:broken_V
heartburn	heart:heart_N burn:burn_V
heavies	heav:heave_V i:y_s es:+PL
hebraic	hebra:Hebrew_A ic:ic_s
helplessness	help:help_V less:less_s ness:ness_s
hemispheres	hemisphere:hemisphere_N s:+PL
heron	heron:heron_N
hesse's	hesse:Hesse_N 's:+GEN
hew	hew:hew_V
hi-fi	hi:high_A -:~ fi:fidelity_N, hi:high_A -:~ fi:fidelity_N
hitches	hitch:hitch_V es:+PL, hitch:hitch_V es:+3SG
hitchhiker's	hitch:hitch_V hik:hike_V er:er_s 's:+GEN
hoarfrost	hoar:hoar_A frost:frost_N
homework's	home:home_N work:work_V 's:+GEN
homogenizes	homogenize:homogenize_V s:+3SG
hooker's	hook:hook_N er:er_s 's:+GEN
hooks'	hook:hook_N s:+PL ':+GEN
hookworms	hook:hook_N worm:worm_N s:+PL
horrid	horrid:horrid_A
horrifically	horr:horror_N if:ify_s ic:ic_s ally:ally_s
housekeeping	house:house_N keeping:keeping_V
hugging	hugg:hug_V ing:+PCP1
hydroponic	hydroponic:hydroponic_A
hydrotherapy	hydro:hydro_p therapy:therapy_N
hyperbolical	hyperbol:hyperbola_N ical:ical_s, hyperbol:hyperbole_N ical:ical_s
idem	idem:idem_O
idolizing	idol:idol_N iz:ize_s ing:+PCP1
ignominiously	ignomini:ignominy_N ous:ous_s ly:ly_s
ill-omened	ill:ill_A -:~ omen:omen_N ed:ed_s
illness'	ill:ill_A ness:ness_s ':+GEN
immutably	im:im_p mutab:mutable_A ly:ly_s
impersonators	im:im_p person:person_N at:ate_s or:or_s s:+PL
imponderable	im:im_p ponder:ponder_V able:able_s, im:im_p ponder:ponder_V able:able_s
impregnable	impregnable:impregnable_A
improvised	improvis:improvise_V ed:+PAST
inaccurately	in:in_p accurate:accurate_A ly:ly_s
incipient	incipient:incipient_A
incumbency	incumb:incumbent_A ency:ency_s
indignities'	in:in_p digniti:dignity_N es:+PL ':+GEN
infelicities	in:in_p felic:felicity_N ~:ous_s iti:ity_s es:+PL
infidels	infidel:infidel_N s:+PL
infinitives	infinitive:infinitive_A s:+PL
ingots'	ingot:ingot_N s:+PL ':+GEN
ingredients	ingredient:ingredient_N s:+PL
instigators	instigat:instigate_V or:or_s s:+PL
institutional	institut:institute_V ion:ion_s al:al_s
insulation's	insulat:insulate_V ion:ion_s 's:+GEN
insures	in:in_p sure:sure_A s:+3SG
interchanged	inter:inter_p chang:change_V ed:+PAST
intermediary's	inter:inter_p medi:mediate_V ary:ary_s 's:+GEN
interposing	inter:inter_p pos:pose_V ing:+PCP1
intimating	intimat:intimate_A ing:+PCP1
inundate	inundate:inundate_V
invalidated	in:in_p valid:valid_A at:ate_s ed:+PAST
inviolate	in:in_p violate:violate_V
ironclad	iron:iron_N clad:clad_V, iron:iron_N clad:clad_V
irony's	irony:irony_N 's:+GEN
jarring	jarr:jar_V ing:+PCP1, jarring:jarring_V
jell-o's	jell-o:Jell-O_N 's:+GEN
joggling	jogg:jog_V l:le_s ing:+PCP1
joinery	join:join_V ery:ery_s
joker	jok:joke_V er:er_s
jollifications	joll:jolly_A ific:ify_s ation:ation_s s:+PL
joyless	joy:joy_N less:less_s
junctions	junction:junction_N s:+PL
jungles	jungle:jungle_N s:+PL
junks	junk:junk_N s:+PL, junk:junk_N s:+3SG
katydid	katydid:katydid_N
keelhauls	keel:keel_N haul:haul_V s:+3SG
khan's	khan:khan_N 's:+GEN
kiddies	kidd:kid_N i:y_s es:+PL
kids	kid:kid_N s:+PL, kid:kid_V s:+3SG
kip's	kip:kip_V 's:+GEN
kirks'	kirk:kirk_N s:+PL ':+GEN
kitchenette's	kitchen:kitchen_N ette:ette_s 's:+GEN
kneads	knead:knead_V s:+3SG
knesset	knesset:Knesset_N
knife's	knife:knife_N 's:+GEN
knocks'	knock:knock_V s:+PL ':+GEN
knuckles'	knuckle:knuckle_N s:+PL ':+GEN
koran	koran:Koran_N
laboratories'	laboratori:laboratory_N es:+PL ':+GEN
lachrymose	lachrymose:lachrymose_A
ladybug	lady:lady_N bug:bug_N
lapwing	lap:lap_V wing:wing_N
larval	larv:larva_N al:al_s
leftist	left:left_A ist:ist_s, left:left_A ist:ist_s
legacies	lega:legate_N ci:cy_s es:+PL
leggings	legg:leg_N ing:ing_s s:s_s
lessens	less:less_O en:en_s s:+3SG
libber	libb:liberate_V ~:ion_s er:er_s
liberal's	liberal:Liberal_N 's:+GEN, liberal:liberal_A 's:+GEN
licked	lick:lick_V ed:+PAST
lifeboats	life:life_N boat:boat_N s:+PL
linden	linden:linden_N
lineman	line:line_N man:man_N
lines	line:line_N s:+PL, line:line_N s:+3SG, lines:lines_N
linguist's	linguist:linguist_N 's:+GEN
liquefying	liquefy:liquefy_V ing:+PCP1
litigates	litigate:litigate_V s:+3SG
lofted	loft:loft_N ed:+PAST, lofted:lofted_V
long-time	long:long_A -:~ time:time_N
longbow	long:long_A bow:bow_V
loon's	loon:loon_N 's:+GEN
lotus's	lotus:lotus_N 's:+GEN
louvred	louvr:louvre_N ed:ed_s
louvres	louvre:louvre_N s:+PL
low-keyed	low:low_A -:~ key:key_N ed:ed_s
luckless	luck:luck_N less:less_s
lurchers	lurch:lurch_N er:er_s s:+PL
lustful	lust:lust_N ful:ful_s
lye	lye:lye_N
machismo	machismo:machismo_N
magistrates'	magistrate:magistrate_N s:+PL ':+GEN
malnutrition	mal:mal_p nutrition:nutrition_N
maltster	malt:malt_N ster:ster_s
malversation	malversation:malversation_N
mandate's	mandate:mandate_N 's:+GEN
mangling	mangl:mangle_N ing:+PCP1, mangl:mangle_V ing:+PCP1
manicure	manicure:manicure_N, manicure:manicure_N
manicurist's	manicur:manicure_N ist:ist_s 's:+GEN
mantels	mantel:mantel_N s:+PL
maroon	maroon:maroon_A, maroon:maroon_A, maroon:maroon_A
maroons	maroon:maroon_A s:+PL, maroon:maroon_A s:+3SG
mascot	mascot:mascot_N
mastheads	mast:mast_N head:head_N s:+PL
mathematician's	mathematic:mathematics_N ian:ian_s 's:+GEN
matriarchal	matriarch:matriarch_N al:al_s
maxis	maxi:maximum_A s:+PL
meadows'	meadow:meadow_N s:+PL ':+GEN
meditates	meditate:meditate_V s:+3SG
mediterranean	mediterranean:Mediterranean_N, mediterranean:Mediterranean_N
memento's	memento:memento_N 's:+GEN
menacing	menac:menace_V ing:+PCP1, menacing:menacing_V
merely	mere:mere_A ly:ly_s
methods	method:method_N s:+PL
midsummer	mid:mid_p summer:summer_N
migraines	migraine:migraine_N s:+PL
militiamen	militia:militia_N men:man_N ~:+PL
mind-reader	mind:mind_N -:~ read:read_V er:er_s
ministration	ministr:minister_N ~:to_P ation:ation_s
misappropriate	mis:mis_p appropriate:appropriate_A
misfits	mis:mis_p fit:fit_A s:+PL
misgivings'	mis:mis_p giving:giving_V s:+PL ':+GEN
misled	mis:mis_p led:lead_V ~:+PAST
misunderstanding	mis:mis_p understand:understand_V ing:+PCP1, misunderstanding:misunderstanding_V
mitigate	mitigate:mitigate_V
mitts	mitt:mitt_N s:+PL
mixtures	mixt:mix_V ure:ure_s s:+PL
modelling	modell:model_N ing:+PCP1, modelling:modelling_V
modifications'	modific:modify_V ation:ation_s s:+PL ':+GEN
moistening	moist:moist_A en:en_s ing:+PCP1
moodiness	mood:mood_N i:y_s ness:ness_s
mooed	moo:moo_V ed:+PAST
morn's	morn:morn_N 's:+GEN
mosque	mosque:mosque_N
murals'	mural:mural_A s:+PL ':+GEN
mushier	mush:mush_N i:y_s er:+CMP
mussed	muss:muss_N ed:+PAST
muzzle's	muzzle:muzzle_N 's:+GEN
muzzled	muzzl:muzzle_N ed:+PAST
narrowest	narrow:narrow_A est:+SUP
nasal	nasal:nasal_A, nasal:nasal_A
natures	nature:nature_N s:+PL
navies'	navi:navy_N es:+PL ':+GEN
needlewoman	needle:needle_N woman:woman_N
negotiations	negotiat:negotiate_V ion:ion_s s:+PL
neighbour's	neighbour:neighbour_N 's:+GEN
net's	net:net_A 's:+GEN
nicked	nick:nick_V ed:+PAST
nihilistic	nihil:nihilism_N ist:ist_s ic:ic_s
nihilists	nihil:nihilism_N ist:ist_s s:+PL
ninnies	ninni:ninny_N es:+PL
nipples	nipple:nipple_N s:+PL
nobbling	nobbl:nobble_V ing:+PCP1
nobles	noble:noble_A s:+PL
non-profit-making	non-profit-making:non-profit-making_A
nostalgia	nostalgia:nostalgia_N
nourishes	nourish:nourish_V es:+3SG
nuisances'	nuisance:nuisance_N s:+PL ':+GEN
numberplates	number:number_V plate:plate_N s:+PL
numerable	numer:number_V able:able_s
numskulls	num:numb_A skull:skull_N s:+PL
nut	nut:nut_N, nut:nut_N
oaks	oak:oak_N s:+PL
oboe	oboe:oboe_N
off-white's	off:off_B -:~ white:white_A 's:+GEN
officeholders'	office:office_N hold:hold_V er:er_s s:+PL ':+GEN
omnivorous	omnivorous:omnivorous_A
opinionated	opin:opine_V ion:ion_s at:ate_s ed:ed_s
oppressor	oppress:oppress_V or:or_s
orbs	orb:orb_N s:+PL
ordains	ordain:ordain_V s:+3SG
orderliness	order:order_V li:ly_s ness:ness_s
outcomes	out:come_V come:out_B s:+PL
outlawing	out:out_p law:law_N ing:+PCP1
outworks	out:out_p work:work_V s:+PL
overbalanced	over:over_p balanc:balance_V ed:+PAST
overburden	over:over_p burden:burden_N, over:over_p burden:burden_N
overlapping	over:over_P lapp:lap_V ing:+PCP1
overstock	over:over_p stock:stock_V
overthrow	over:over_P throw:throw_V, over:over_P throw:throw_V
palish	pal:pale_A ish:ish_s
pamphlet's	pamphlet:pamphlet_N 's:+GEN
